origin	destination	reason	MODO	HMV	RED	duration	distance	age	gender	FEV	ID	
362 6 1 4 6.75 AM 90 6.4112 50 1 30.46298507 130921 
6 362 6 2 19.25 PM 30 6.4112 50 1 32.75589793 130921 
362 36 1 4 8.5 AM 60 4.478 40 2 32.75589793 17617 
36 362 6 2 18.75 PM 30 4.478 40 2 32.75589793 17617 
362 253 2 1 5.915 AM 10.2 0.8034 18 2 32.75589793 14170 
253 362 6 1 12.333 MD 10 0.8034 18 2 32.75589793 14170 
362 6 1 4 8.75 AM 30 6.4112 16 2 32.75589793 107623 
6 362 6 4 18.25 PM 30 6.4112 16 2 31.11810303 107623 
364 12 1 2 8.25 AM 30 5.1707 42 1 71.02093945 66805 
12 364 6 2 20.75 PM 30 5.1707 42 1 71.02093945 66805 
364 339 1 2 13.083 MD 70 28.1706 20 2 71.02093945 9790 
339 364 6 2 22.5 MN 60 28.1706 20 2 71.02093945 9790 
364 353 2 1 11.25 MD 30 0.5703 18 2 71.02093945 40460 
354 364 6 1 16.125 PM 15 0.4056 18 2 71.02093945 40460 
216 312 1 4 19.5 PM 60 15.5356 30 1 41.84010417 107594 
312 216 6 4 6.75 AM 90 15.5356 30 1 38.07449479 107594 
123 334 1 3 5.833 AM 40 7.8433 64 1 81.58000575 31598 
334 123 6 3 18.333 PM 40 7.8433 64 1 89.73800632 31598 
216 216 2 1 11.083 MD 10 0 7 2 41.84010417 38209 
216 216 6 1 16.915 PM 10.2 0 7 2 41.84010417 38209 
216 216 2 1 11.083 MD 10 0 6 1 41.84010417 32224 
216 216 6 1 16.915 PM 10.2 0 6 1 41.84010417 32224 
123 101 1 3 7.625 AM 15 2.4928 45 2 81.58000575 98830 
101 123 6 3 12.375 MD 15 2.4928 45 2 81.58000575 98830 
123 101 1 3 13.375 MD 15 2.4928 45 2 81.58000575 98830 
101 123 6 3 16.875 PM 15 2.4928 45 2 81.58000575 98830 
123 124 1 3 14.042 MD 5 0.4575 42 2 81.58000575 7648 
124 123 6 3 17.083 PM 10 0.4575 42 2 114.212008 7648 
123 101 5 5 14.083 MD 10 2.4928 12 1 81.58000575 46944 
101 123 6 5 15.083 MD 10 2.4928 12 1 81.58000575 46944 
130 6 3 2 9.25 AM 30 2.5363 83 1 81.58000575 45582 
6 130 6 2 10.75 MD 30 2.5363 83 1 81.58000575 45582 
130 131 3 5 12.167 MD 20 0.3929 83 1 81.58000575 45582 
131 130 6 5 13.667 MD 20 0.3929 83 1 81.58000575 45582 
130 6 3 2 9.25 AM 30 2.5363 64 2 81.58000575 37506 
6 130 6 2 10.75 MD 30 2.5363 64 2 81.58000575 37506 
130 131 3 5 12.167 MD 20 0.3929 64 2 81.58000575 37506 
131 130 6 5 13.667 MD 20 0.3929 64 2 81.58000575 37506 
130 183 1 3 7.25 AM 30 4.0088 39 2 81.58000575 112064 
183 130 6 3 17.75 PM 30 4.0088 39 2 114.212008 112064 
130 76 1 3 10.25 MD 30 5.1252 30 1 81.58000575 47005 
76 130 6 3 18.25 PM 30 5.1252 30 1 89.73800632 47005 
130 10 1 3 8.75 AM 30 3.3953 53 2 81.58000575 138877 
10 130 6 3 12.167 MD 20 3.3953 53 2 81.58000575 138877 
130 10 1 3 14.167 MD 20 3.3953 53 2 81.58000575 138877 
10 130 6 3 18.167 PM 20 3.3953 53 2 89.73800632 138877 
130 9 4 5 9.75 AM 30 3.5771 82 2 81.58000575 106884 
9 130 6 5 11 MD 30 3.5771 82 2 81.58000575 106884 
130 60 1 3 8.08 AM 10 3.4618 48 1 81.58 31614 
60 130 6 3 17.83 PM 20 3.4618 48 1 89.74 31614 
130 128 1 5 8.42 AM 10 1.1768 37 2 81.58 64727 
128 130 6 5 16.58 PM 10 1.1768 37 2 81.58 64727 
130 69 2 3 6.50 AM 60 5.7826 10 1 81.58 8298 
69 130 6 3 16.00 PM 60 5.7826 10 1 81.58 8298 
130 69 2 3 6.50 AM 60 5.7826 7 1 81.58 117441 
69 130 6 3 16.00 PM 60 5.7826 7 1 81.58 117441 
130 69 2 3 6.50 AM 60 5.7826 6 1 81.58 4899 
69 130 6 3 16.00 PM 60 5.7826 6 1 81.58 4899 
123 24 7 3 8.083 AM 10 2.404 68 2 81.58000575 89619 
24 123 6 3 9.415 AM 10.2 2.404 68 2 81.58000575 89619 
123 81 1 3 7.335 AM 19.8 4.9771 29 1 73.42200517 97643 
81 123 6 3 12.583 MD 10 4.9771 29 1 81.58000575 97643 
123 81 1 3 13.835 MD 19.8 4.9771 29 1 81.58000575 97643 
81 123 6 3 18.25 PM 30 4.9771 29 1 89.73800632 97643 
216 15 1 2 20.17 PM 20 4.836 45 1 41.84 26396 
15 216 6 2 9.17 AM 20 4.836 45 1 41.84 26396 
216 262 7 1 6.63 AM 15 0.6986 52 2 41.84 78818 
262 262 1 1 7.13 AM 15 0 52 2 41.84 78818 
262 262 7 1 11.88 MD 15 0 52 2 41.84 78818 
262 216 6 1 12.75 MD 30 0.6986 52 2 41.84 78818 
216 215 2 1 6.63 AM 15 0.5328 12 1 41.84 89078 
215 216 6 1 13.00 MD 60 0.5328 12 1 41.84 89078 
216 262 2 1 6.63 AM 15 0.6986 9 2 41.84 23116 
262 216 6 1 12.75 MD 30 0.6986 9 2 41.84 23116 
216 215 2 1 11.63 MD 15 0.5328 8 2 41.84 42467 
215 216 6 1 5.75 AM 30 0.5328 8 2 41.84 42467 
130 27 7 3 6.88 AM 15 2.6646 59 1 73.42 7142 
27 130 6 3 7.13 AM 15 2.6646 59 1 97.90 7142 
130 122 7 3 10.17 MD 20 1.3078 59 1 81.58 7142 
122 130 6 3 10.83 MD 20 1.3078 59 1 81.58 7142 
130 122 7 3 10.17 MD 20 1.3078 64 2 81.58 35581 
122 130 6 3 10.83 MD 20 1.3078 64 2 81.58 35581 
130 76 3 3 14.25 MD 30 5.1252 64 2 81.58 35581 
76 130 6 3 17.75 PM 30 5.1252 64 2 89.74 35581 
130 27 1 3 6.88 AM 15 2.6646 24 2 73.42 952 
27 306 1 4 7.17 AM 20 7.0014 24 2 97.90 952 
306 130 6 3 18.25 PM 30 7.7435 24 2 89.74 952 
130 142 1 3 7.25 AM 30 2.6201 50 1 81.58000575 1541 
142 130 6 3 15.25 MD 30 2.6201 50 1 81.58000575 1541 
130 157 7 3 6.625 AM 15 1.5441 48 2 81.58000575 104737 
157 142 7 3 7.125 AM 45 3.5648 48 2 81.58000575 104737 
142 164 7 3 7.75 AM 30 2.2097 48 2 81.58000575 104737 
164 130 7 3 8.25 AM 30 1.9102 48 2 81.58000575 104737 
130 231 2 2 5.75 AM 30 3.8555 19 1 81.58000575 64731 
231 130 6 2 14.25 MD 30 3.8555 19 1 81.58000575 64731 
130 157 2 3 6.625 AM 15 1.5441 16 2 81.58000575 17162 
157 130 6 2 3.25 MN 30 1.5441 16 2 81.58000575 17162 
130 164 2 3 7.75 AM 30 1.9102 13 1 81.58000575 10066 
164 130 6 3 4.25 AM 30 1.9102 13 1 81.58000575 10066 
130 129 5 1 9.042 AM 5 0.6096 80 1 81.58000575 13357 
129 10 5 2 9.502 AM 39.8 2.7857 80 1 81.58000575 13357 
10 129 6 2 14.333 MD 40 2.7857 80 1 81.58000575 13357 
129 130 6 1 14.71 MD 4.8 0.6096 80 1 81.58000575 13357 
130 129 1 1 9.042 AM 5 0.6096 60 1 81.58000575 147547 
129 10 1 2 9.418 AM 29.8 2.7857 60 1 81.58000575 147547 
10 129 6 2 17.25 PM 30 2.7857 60 1 73.42200517 147547 
129 130 6 1 17.542 PM 5 0.6096 60 1 81.58000575 147547 
130 24 1 5 7.75 AM 30 2.4975 40 2 97.89600689 35738 
24 130 6 5 18.25 PM 30 2.4975 40 2 106.0540075 35738 
123 328 1 4 6.75 AM 30 6.8028 54 1 97.90 33957 
328 123 6 4 18.38 PM 45 6.8028 54 1 88.60 33957 
123 123 1 1 8.58 AM 10 0 51 2 81.58 39737 
123 123 6 1 11.58 MD 10 0 51 2 81.58 39737 
123 123 1 1 13.58 MD 10 0 51 2 81.58 39737 
123 123 6 1 17.58 PM 10 0 51 2 81.58 39737 
123 116 2 3 9.38 AM 5 1.8452 20 2 81.58 69124 
116 123 6 3 9.50 AM 10 1.8452 20 2 81.58 69124 
123 179 2 3 11.83 MD 20 3.1795 20 2 81.58 69124 
179 123 6 3 16.04 PM 25 3.1795 20 2 81.58 69124 
123 116 2 3 9.38 AM 5 1.8452 18 2 81.58 70453 
116 123 6 2 12.67 MD 40 1.8452 18 2 81.58 70453 
216 18 3 2 6.333 AM 40 5.7911 71 1 41.84010417 107077 
18 216 6 2 7.792 AM 35 5.7911 71 1 41.84010417 107077 
216 359 1 1 8.375 AM 15 0.2507 71 1 41.84010417 107077 
359 216 6 1 16.667 PM 20 0.2507 71 1 41.84010417 107077 
216 359 5 1 10.25 MD 30 0.2507 67 2 41.84010417 131161 
359 216 6 1 13.75 MD 30 0.2507 67 2 41.84010417 131161 
123 131 7 3 10.58 MD 10 0.8731 77 2 81.58 124560 
131 76 7 3 11.88 MD 15 5.5159 77 2 81.58 124560 
76 123 6 3 14.83 MD 20 4.6658 77 2 81.58 124560 
123 131 7 3 10.58 MD 10 0.8731 68 1 81.58 61992 
131 76 7 3 11.88 MD 15 5.5159 68 1 81.58 61992 
76 123 6 3 14.83 MD 20 4.6658 68 1 81.58 61992 
130 337 1 3 8.25 AM 30 12.1451 45 1 81.58 11262 
337 130 6 3 12.25 MD 30 12.1451 45 1 81.58 11262 
130 337 1 3 14.25 MD 30 12.1451 45 1 81.58 11262 
337 130 6 3 20.25 PM 30 12.1451 45 1 81.58 11262 
130 122 1 3 7.17 AM 20 1.3078 26 1 81.58 37066 
216 241 4 2 14.625 MD 45 3.3959 63 2 41.84010417 12528 
241 216 6 2 16.625 PM 45 3.3959 63 2 41.84010417 12528 
216 318 1 2 3.875 MN 45 17.7073 50 1 41.84010417 59369 
318 216 6 4 15.875 MD 15 17.7073 50 1 41.84010417 59369 
216 44 7 2 6.5 AM 60 7.0184 20 1 41.84010417 1023 
44 216 6 2 10.5 MD 60 7.0184 20 1 41.84010417 1023 
216 359 2 1 12.375 MD 15 0.2507 16 1 41.84010417 46050 
359 216 6 1 18.125 PM 15 0.2507 16 1 41.84010417 46050 
216 235 1 2 10.42 MD 50 4.3501 73 2 41.84 56275 
235 216 6 2 21.58 PM 50 4.3501 73 2 41.84 56275 
216 242 1 2 7.25 AM 30 3.4147 40 2 41.84 132730 
242 216 6 2 20.75 PM 30 3.4147 40 2 41.84 132730 
216 79 1 4 8.42 AM 50 11.0253 25 2 41.84 103937 
79 216 6 4 18.42 PM 50 11.0253 25 2 39.75 103937 
216 79 1 4 5.50 AM 60 11.0253 21 2 41.84 48521 
79 216 6 4 17.50 PM 60 11.0253 21 2 39.75 48521 
216 7 1 2 13.33 MD 40 6.7904 18 1 41.84 1978 
7 216 6 2 17.58 PM 30 6.7904 18 1 41.84 1978 
216 22 7 2 9.833 AM 40 7.211 40 2 41.84010417 123255 
22 216 6 2 13.917 MD 110 7.211 40 2 41.84010417 123255 
216 187 2 2 15.333 MD 100 4.7482 19 2 41.84010417 72319 
187 216 6 2 22.25 MN 90 4.7482 19 2 41.84010417 72319 
366 366 7 1 7.875 AM 15 0 32 2 32.75589793 62693 
366 366 6 1 16.125 PM 15 0 32 2 32.75589793 62693 
36 216 6 2 19.125 PM 45 4.9562 38 1 51.03515625 75954 
216 36 1 2 5.625 AM 75 4.9562 38 1 51.03515625 75954 
36 216 6 2 19.125 PM 45 4.9562 38 1 51.03515625 75954 
312 216 6 4 17.875 PM 75 15.5356 39 2 55.42417969 119977 
216 312 1 4 6 AM 60 15.5356 39 2 61.2421875 119977 
312 216 6 4 17.875 PM 75 15.5356 39 2 55.42417969 119977 
359 216 6 1 17.875 PM 15 0.2507 9 2 51.03515625 83264 
216 359 4 1 11.083 MD 10 0.2507 9 2 51.03515625 83264 
359 216 6 1 17.875 PM 15 0.2507 9 2 51.03515625 83264 
216 18 1 2 7.75 AM 30 5.7911 31 1 41.84 22741 
18 216 6 2 19.25 PM 30 5.7911 31 1 41.84 22741 
216 109 1 2 7.92 AM 50 12.5741 30 1 37.66 49141 
109 216 6 2 21.67 PM 40 12.5741 30 1 41.84 49141 
216 329 1 4 6.33 AM 40 13.8733 28 1 50.21 130825 
329 216 6 4 19.17 PM 40 13.8733 28 1 41.84 130825 
216 216 2 1 6.58 AM 20 0 8 2 41.84 35738 
216 216 6 1 11.83 MD 20 0 8 2 41.84 35738 
120 179 2 2 8.17 AM 20 3.6338 19 1 82.64 131939 
179 120 6 2 17.17 PM 20 3.6338 19 1 82.64 131939 
120 116 2 2 17.67 PM 20 1.4197 30 1 82.64 118872 
116 120 6 2 20.33 PM 20 1.4197 30 1 82.64 118872 
120 179 2 2 6.17 AM 20 3.6338 18 2 82.64 83086 
179 120 6 2 17.17 PM 20 3.6338 18 2 82.64 83086 
216 215 4 1 6.708 AM 25 0.5328 56 2 41.84010417 143249 
215 216 6 1 8.835 AM 19.8 0.5328 56 2 41.84010417 143249 
216 215 7 1 12.167 MD 20 0.5328 25 2 41.84010417 76059 
215 216 6 1 13.335 MD 19.8 0.5328 25 2 41.84010417 76059 
216 216 2 1 8.583 AM 10 0 5 1 41.84010417 44059 
216 216 6 1 15.915 MD 10.2 0 5 1 41.84010417 44059 
216 170 1 2 5.167 AM 80 6.1921 38 1 41.84010417 91194 
170 216 6 2 19 PM 60 6.1921 38 1 41.84010417 91194 
216 23 5 2 8.333 AM 40 7.473 40 2 41.84010417 140387 
23 216 6 2 16.998 PM 80.2 7.473 40 2 41.84010417 140387 
216 356 2 1 11.875 MD 15 0.4974 16 2 41.84010417 43487 
356 216 6 1 17.875 PM 15 0.4974 16 2 41.84010417 43487 
216 95 1 4 6 AM 60 13.0129 18 1 38.91129688 54898 
95 216 6 4 21.5 PM 60 13.0129 18 1 41.84010417 54898 
216 356 2 1 11.875 MD 15 0.4974 13 1 41.84010417 21548 
356 216 6 1 17.875 PM 15 0.4974 13 1 41.84010417 21548 
216 356 2 1 11.875 MD 15 0.4974 14 1 41.84010417 40389 
356 216 6 1 17.875 PM 15 0.4974 14 1 41.84010417 40389 
216 229 2 2 5.75 AM 30 3.9828 27 1 41.84 66270 
229 216 6 2 18.25 PM 30 3.9828 27 1 41.84 66270 
216 79 2 4 7.83 AM 40 11.0253 23 1 38.91 73934 
79 216 6 4 21.17 PM 40 11.0253 23 1 41.84 73934 
216 60 1 3 7.75 AM 30 8.1112 24 1 41.84 2567 
60 216 6 3 17.25 PM 30 8.1112 24 1 50.21 2567 
216 356 2 1 6.13 AM 15 0.4974 13 2 41.84 30069 
356 216 6 1 13.38 MD 15 0.4974 13 2 41.84 30069 
216 5 1 2 6.92 AM 50 6.2008 42 1 41.84 86123 
5 216 6 2 21.08 PM 50 6.2008 42 1 41.84 86123 
216 216 2 1 6.67 AM 20 0 21 2 41.84 99597 
216 216 6 1 18.17 PM 20 0 21 2 41.84 99597 
216 10 1 2 6.50 AM 60 6.2776 19 2 41.84 20519 
10 216 6 2 20.75 PM 30 6.2776 19 2 41.84 20519 
216 377 1 2 6.50 AM 60 9.0833 41 2 37.66 30736 
377 216 6 2 20.50 PM 60 9.0833 41 2 41.84 30736 
216 226 2 1 6.13 AM 15 2.8234 16 1 41.84 114375 
226 216 6 1 12.38 MD 15 2.8234 16 1 41.84 114375 
216 179 2 4 10.42 MD 50 5.4352 18 1 41.84 22211 
179 216 6 4 18.50 PM 60 5.4352 18 1 39.75 22211 
120 1 1 2 7.125 AM 15 3.8813 42 1 82.63888889 29069 
1 42 1 2 7.75 AM 30 1.9298 42 1 82.63888889 29069 
42 1 6 2 18.25 PM 30 1.9298 42 1 82.63888889 29069 
1 120 6 2 19 PM 30 3.8813 42 1 82.63888889 29069 
120 179 1 5 7.75 AM 30 3.6338 47 2 132.2222222 95192 
179 120 6 5 18.25 PM 30 3.6338 47 2 148.75 95192 
120 179 1 5 7.75 AM 30 3.6338 23 2 132.2222222 131403 
179 120 6 5 18.25 PM 30 3.6338 23 2 148.75 131403 
216 216 2 1 12.54 MD 25.2 0 17 2 41.84010417 20694 
216 216 2 1 13.877 MD 24.8 0 17 2 41.84010417 20694 
120 202 1 3 7.25 AM 30 5.3181 35 1 82.64 83239 
202 120 6 3 9.25 AM 30 5.3181 35 1 82.64 83239 
120 102 1 3 15.21 MD 25 3.138 35 1 82.64 83239 
102 120 6 3 18.33 PM 40 3.138 35 1 115.69 83239 
120 202 1 3 7.25 AM 30 5.3181 19 2 82.64 39132 
202 120 6 3 9.25 AM 30 5.3181 19 2 82.64 39132 
120 102 1 3 15.21 MD 25 3.138 19 2 82.64 39132 
102 120 6 3 18.33 PM 40 3.138 19 2 115.69 39132 
366 151 1 2 7.5 AM 60 8.5562 27 2 29.48030814 97633 
151 366 6 2 16.5 PM 60 8.5562 27 2 32.75589793 97633 
366 366 2 1 6.85 AM 12 0 9 2 32.75589793 94062 
366 366 6 1 12.1 MD 12 0 9 2 32.75589793 94062 
366 366 2 1 6.875 AM 15 0 8 2 32.75589793 79360 
366 366 6 1 12.1 MD 12 0 8 2 32.75589793 79360 
131 5 7 5 18.08 PM 10 2.9648 55 2 303.06 38151 
5 131 6 5 23.88 MN 5 2.9648 55 2 84.18 38151 
131 231 2 3 8.08 AM 10 3.9089 21 1 84.18 89917 
231 131 6 2 16.17 PM 20 3.9089 21 1 84.18 89917 
131 116 2 3 6.08 AM 10 2.2208 20 2 84.18 22241 
116 131 6 3 16.08 PM 10 2.2208 20 2 84.18 22241 
131 131 3 1 9.042 AM 5 0 56 2 84.18277311 75087 
131 131 6 1 10.042 MD 5 0 56 2 84.18277311 75087 
131 24 1 2 7.125 AM 15 2.8013 50 2 84.18277311 109687 
24 131 6 2 12.375 MD 15 2.8013 50 2 84.18277311 109687 
131 24 1 2 13.125 MD 15 2.8013 50 2 84.18277311 109687 
24 131 6 2 8.875 AM 15 2.8013 50 2 84.18277311 109687 
131 1 1 2 8.625 AM 15 3.4567 59 1 84.18277311 61166 
1 131 6 2 14.125 MD 15 3.4567 59 1 84.18277311 61166 
131 234 7 2 15 MD 60 5.0173 10 1 84.18277311 77227 
234 131 6 2 20 PM 60 5.0173 10 1 84.18277311 77227 
131 231 2 2 7.582 AM 30.2 3.9089 21 1 84.18277311 39696 
231 131 6 2 20.375 PM 45 3.9089 21 1 84.18277311 39696 
131 142 2 1 6.333 AM 10 2.2557 16 1 84.18277311 48461 
142 131 6 1 12.083 MD 10 2.2557 16 1 84.18277311 48461 
131 142 2 1 6.333 AM 10 2.2557 15 1 84.18277311 7157 
142 131 6 1 12.083 MD 10 2.2557 15 1 84.18277311 7157 
131 150 5 3 14.083 MD 10 0.9661 68 2 84.18277311 2650 
150 131 6 5 20.583 PM 10 0.9661 68 2 84.18277311 2650 
131 121 7 1 15.25 MD 30 1.1457 54 1 84.18277311 40259 
121 131 6 5 1.083 MN 10 1.1457 54 1 84.18277311 40259 
131 44 1 5 6.125 AM 15 4.815 54 2 101.0193277 38156 
44 131 6 5 14.125 MD 15 4.815 54 2 84.18277311 38156 
131 1 7 2 16.208 PM 25 3.4567 54 2 84.18277311 38156 
1 131 6 2 18.125 PM 15 3.4567 54 2 75.7644958 38156 
131 231 2 4 6.75 AM 30 3.9089 21 1 78.28997899 32351 
231 131 6 2 17.375 PM 45 3.9089 21 1 75.7644958 32351 
131 231 2 2 13.75 MD 30 3.9089 19 2 84.18277311 65488 
231 131 6 2 19.25 PM 30 3.9089 19 2 84.18277311 65488 
131 142 5 2 10.877 MD 24.8 2.2557 69 2 84.18277311 27060 
142 131 6 2 12.54 MD 25.2 2.2557 69 2 84.18277311 27060 
131 261 1 2 6.125 AM 15 8.7458 42 2 84.18277311 35556 
261 178 1 5 13.083 MD 10 6.0139 42 2 84.18277311 35556 
178 131 6 5 20.083 PM 10 2.8558 42 2 84.18277311 35556 
366 60 1 2 6.38 AM 45 7.6341 38 1 32.76 56256 
60 366 6 2 17.33 PM 40 7.6341 38 1 32.76 56256 
366 366 2 1 7.71 AM 5 0 5 2 32.76 41494 
366 366 6 1 12.04 MD 5 0 5 2 32.76 41494 
153 33 1 2 6.167 AM 20 4.0908 56 2 97.25 15466 
33 153 6 2 18.333 PM 40 4.0908 56 2 87.525 15466 
161 1 3 2 15.208 MD 25 3.0725 63 2 58.45092207 53335 
1 161 6 2 16.333 PM 10 3.0725 63 2 58.45092207 53335 
161 175 1 3 13.75 MD 30 1.6995 24 1 58.45092207 94521 
175 161 6 3 16.167 PM 20 1.6995 24 1 58.45092207 94521 
162 10 7 2 9.29 AM 25.2 3.4984 57 2 50.15843621 67478 
10 162 6 2 11.335 MD 19.8 3.4984 57 2 50.15843621 67478 
162 10 3 2 14.667 MD 20 3.4984 57 2 50.15843621 67478 
10 162 6 2 17.75 PM 30 3.4984 57 2 45.14259259 67478 
162 78 2 6 17.25 PM 30 6.5932 24 1 50.15843621 32014 
78 162 6 6 20.25 PM 30 6.5932 24 1 50.15843621 32014 
162 150 4 1 7.498 AM 20.2 1.4875 55 2 50.15843621 91323 
150 151 1 5 8.373 AM 5.2 0.6157 55 2 50.15843621 91323 
151 162 6 2 14.167 MD 20 2.0957 55 2 50.15843621 91323 
162 61 7 5 14.75 MD 30 4.4572 55 2 50.15843621 91323 
61 162 6 5 16.667 PM 20 4.4572 55 2 50.15843621 91323 
162 61 4 5 14.75 MD 30 4.4572 92 2 50.15843621 37096 
61 162 6 5 16.667 PM 20 4.4572 92 2 50.15843621 37096 
162 61 7 5 14.75 MD 30 4.4572 44 2 50.15843621 58520 
61 162 6 5 16.667 PM 20 4.4572 44 2 50.15843621 58520 
162 1 1 3 8.625 AM 15 3.1738 65 2 50.15843621 98954 
1 162 6 5 18.625 PM 15 3.1738 65 2 65.20596708 98954 
162 292 1 4 6.25 AM 90 21.5409 58 1 43.63783951 61708 
292 162 6 4 18.75 PM 90 21.5409 58 1 55.17427984 61708 
162 5 1 2 6.625 AM 15 2.7043 50 2 50.15843621 64113 
5 162 6 2 13.125 MD 15 2.7043 50 2 50.15843621 64113 
162 5 1 2 16.125 PM 15 2.7043 50 2 50.15843621 64113 
5 162 6 2 19.125 PM 15 2.7043 50 2 50.15843621 64113 
162 243 2 3 6.917 AM 20 3.778 14 2 50.15843621 3008 
243 162 6 3 14.75 MD 30 3.778 14 2 50.15843621 3008 
162 10 7 2 9.75 AM 30 3.4984 58 2 50.15843621 5881 
10 162 6 2 12.25 MD 30 3.4984 58 2 50.15843621 5881 
162 131 7 3 11.125 MD 15 2.1059 32 1 50.15843621 71867 
131 162 6 3 13.835 MD 19.8 2.1059 32 1 50.15843621 71867 
162 76 1 3 7.667 AM 20 6.8933 23 1 30.09506173 73222 
76 162 6 3 18.25 PM 30 6.8933 23 1 35.11090535 73222 
162 131 1 2 7.667 AM 20 2.1059 38 1 50.15843621 95747 
131 162 6 2 18.498 PM 20.2 2.1059 38 1 50.15843621 95747 
366 104 1 3 7.585 AM 49.8 9.4275 29 1 32.75589793 109736 
104 366 6 3 18 PM 60 9.4275 29 1 68.78738565 109736 
366 267 1 2 7.832 AM 60.2 4.4046 21 2 32.75589793 136795 
267 366 6 2 17.292 PM 35 4.4046 21 2 32.75589793 136795 
365 18 3 2 8.50 AM 60 5.2679 42 1 32.76 122094 
18 365 6 2 12.63 MD 75 5.2679 42 1 32.76 122094 
164 231 1 2 13.25 MD 30 3.3206 29 1 16.4 136552 
231 164 6 2 18.25 PM 30 3.3206 29 1 14.76 136552 
151 285 1 3 7.25 AM 30 15.2283 55 2 41.56 2526 
285 151 6 3 17.29 PM 35 15.2283 55 2 77.19 2526 
151 150 5 1 12.04 MD 5 0.6157 20 2 59.38 70402 
150 151 6 1 17.08 PM 10 0.6157 20 2 59.38 70402 
151 147 5 1 18.04 PM 5 0.5969 20 2 59.38 70402 
147 151 6 1 19.58 PM 10 0.5969 20 2 59.38 70402 
151 151 2 1 7.02 AM 2 0 17 2 59.38 91338 
151 151 6 1 13.02 MD 2 0 17 2 59.38 91338 
151 156 3 3 16.583 PM 10 2.5588 57 2 59.375 77182 
156 151 6 3 18.625 PM 15 2.5588 57 2 83.125 77182 
151 142 1 2 7.625 AM 15 1.4968 54 1 59.375 39972 
142 151 6 2 18.167 PM 20 1.4968 54 1 59.375 39972 
151 86 1 3 7.75 AM 30 7.8041 23 2 59.375 44719 
86 82 4 2 17.125 PM 15 1.0768 23 2 59.375 44719 
82 151 6 2 19.21 PM 34.8 6.7273 23 2 59.375 44719 
151 79 2 4 14.333 MD 40 5.655 20 2 59.375 70560 
79 151 6 4 18.417 PM 50 5.655 20 2 56.40625 70560 
151 1 1 4 7.415 AM 10.2 4.0979 29 1 55.21875 53798 
1 151 6 4 12.25 MD 30 4.0979 29 1 59.375 53798 
151 7 1 5 7.75 AM 30 3.8022 31 1 71.25 76084 
7 151 6 5 20.25 PM 30 3.8022 31 1 59.375 76084 
151 7 1 5 7.75 AM 30 3.8022 29 1 71.25 127573 
7 151 6 5 20.25 PM 30 3.8022 29 1 59.375 127573 
151 150 2 1 8.042 AM 5 0.6157 7 1 59.375 29715 
